,id,user_name,user_followers,user_verified,date,text,retweets,favorites,is_retweet
0,1453041148885229571,On The Red Carpet,60363,True,2021-07-24 16:49:40,"Wanna play ""Red Light.  Green Light?""  
Look what appeared in Olympic Park in Seoul, South Korean.  What would you… https://t.co/4W6A2kdD7L",2,6,False
0,1453038732228153344,Meaghen Johnson,1206,False,2021-07-24 16:40:04,"It’s game day no. 2 for the #CanXNT/#CanWNT Celebration Tour. 

ICYMI - Quinn reflects on their past year on and of… https://t.co/kJcFjaSD1i",0,4,False
0,1453036306435543046,USA Curling,30428,True,2021-07-24 16:30:26,"The 2022 US Olympic Team Trials start TODAY!

Watch Christensen/Shuster vs Hamilton/Hamilton in the opening feature… https://t.co/dO5ZgXxvUN",14,37,False
0,1453018578098085891,❀,608,False,2021-07-24 15:19:59,Yes it does! When the game is on international level. Supporting your country's team is supporting your nation. Ima… https://t.co/VmfrCXGxdf,1,8,False
0,1453012791300923400,Buffalo Sabres Stats,8967,False,2021-07-24 14:56:59,"Craig Anderson is currently the 16th oldest goaltender to win an NHL game.  

With a win anytime after the Olympic… https://t.co/ly5iXQlxv2",3,13,False
0,1453011053047164941,AP Sports,140651,True,2021-07-24 14:50:05,"It's time: World Cup and Olympic champion Carli Lloyd, who ranks second in the world for most international appeara… https://t.co/UhJEeQpZC0",9,12,False
0,1452994702366621700,NBC News,8681140,True,2021-07-24 13:45:07,WATCH: South Korean fans of 'Squid Game' flocked to a park in Seoul after a giant doll featured in the show was ins… https://t.co/IgkgzgAF9y,36,169,False
0,1452994674319257600,FAIreland ⚽️🇮🇪,275939,True,2021-07-24 13:45:00,"LINE-UP | 🇫🇮 v 🇮🇪

🟢 Unchanged from Sweden game
🟢 Cap 110 for @Aineogor9

⏰ KO 16:15 (Irish Time)
🏟 Olympic Stadium… https://t.co/AG7sCGGHeN",19,132,False
0,1452990900846608393,Hindustan Times,8258453,True,2021-07-24 13:30:00,"Younghee, a four-metre-tall doll dressed in orange and yellow, was set up at the Seoul Olympic Park on Monday.… https://t.co/WnLlm4SABO",4,37,False
0,1452987909221588993,NBC10 Philadelphia,618231,True,2021-07-24 13:18:07,⚽ NJ's Carli Lloyd is retiring from #USWNT soccer after a decorated career that includes two Women’s World Cup titl… https://t.co/Z3jhrcstzb,3,5,False
0,1452985289174097925,Getpucksdeeeeep,1111,False,2021-07-24 13:07:42,having an Olympic break between every game to start the season is a drag dude.,1,20,False
0,1452944196348874752,womensSOCCERphotos,1567,False,2021-07-24 10:24:25,The Olympic Stadium in Helsinki looking good this morning ahead of this evening’s @FIFAWWC Qualifier game against F… https://t.co/m30UQ9K9x4,0,14,False
0,1452893181247381506,Anyone's Game,733,False,2021-07-24 07:01:42,"Scotland v Sweden: Spirit, depth and frailties

Anyone's Game looks ahead to Scotland's clash with Olympic finalist… https://t.co/kizo1E7quO",2,6,False
0,1452888207113269251,Ian Saltern 〓〓,855,False,2021-07-24 06:41:56,Cornwall played Australia in the final of the men's Rugby Union on this day in the 1908 London Olympic Games. Austr… https://t.co/B6KhyzaPKt,15,55,False
0,1452870693352316931,NetsDaily,43767,True,2021-07-24 05:32:20,"It was said that Spurs conservative offense had stifled Mills game. Now after his Olympic performance in Tokyo, par… https://t.co/Ah3mlGvcVC",2,46,False
0,1452812765257551876,Duke of Ice Age,581,False,2021-07-24 01:42:09,"@flower_boi Blue Chip in the making with @TheCavemenClub 

Olympic Dev team, great community, epic roadmap deliveri… https://t.co/dAmG98tLrI",1,9,False
0,1452793776309735427,Jane Coaston,132804,True,2021-07-24 00:26:42,The closest comparison for that game I can come up is like when the USA Olympic basketball team plays a tiny countr… https://t.co/dcbfxUks9H,4,73,False
0,1452767919507525634,ささパンダ,270,False,2021-07-24 22:43:57,"@yunamaoist Even if Yuzu couldn't attend the Olympic game, figure skating will be still interestng to see many talents.",0,8,False
0,1452744468977762304,kath (;,1155,False,2021-07-24 21:10:46,ITS REALLY THE HUNGER GAMES B2B SQUID GAME OLYMPIC MARATHON WITH ZERO HAZARD PAY YET PPL ARE BUSTING MISSIONS TO SPACE,0,17,False
0,1452738892113883137,Mark Owens,160,False,2021-07-24 20:48:37,@heykayadams @NFLGameDay There is nothing…I repeat…NOTHING less compelling in all of sports television than 50+ yea… https://t.co/9vUwcB9gGh,0,6,False
0,1452733112488706049,MLB Pipeline,223037,True,2021-07-24 20:25:39,"Winning an Olympic medal meant it was a busy summer for Triston Casas, so now that he's getting comfortable in the… https://t.co/R1eh3zJ3Eo",13,70,False
0,1452725784481779715,VikeFans,10340,False,2021-07-24 19:56:32,"Bullet Bob Hayes (""Fastest Man on Earth"" due to his Olympic 100 meter dash win) vs Minnesota in the final preseason… https://t.co/bOfs0u0IeG",0,5,False
0,1452715302664372224,Sue Alexander,609,False,2021-07-24 19:14:52,It would be wise not to sleep on @ArizonaWBB point guard @Shainap_14. Stepped up BIG TIME in 2021 @NCAAWBB Champion… https://t.co/qpwoLCqGiF,2,19,False
0,1452712971461922816,Team Grassie,140,False,2021-07-24 19:05:37,Our pre-event practice is complete at the @CurlingCanada  @home_hardware Olympic Pre-Trials. The ice was fantastic… https://t.co/eMoMK8f0C0,2,29,False
0,1452693449363398662,THE WNL SHOW,2261,False,2021-07-24 17:48:02,Part two from this evenings press conference with Vera and Louise. Interestingly this game is being played in the O… https://t.co/tBTubqWUNC,0,9,False
0,1452679441285517317,Richy🇭🇹 #College=SatanicOrganization,1173,False,2021-07-24 16:52:22,They already overworked him in the regular season then they let him go to that stupid Olympic game shit and now he'… https://t.co/jCaLOoJN24,0,15,False
0,1452674538773401603,Billingshurst FC,2758,False,2021-07-24 16:32:54,"Fixtures for this weekend vs @MidhurstFC @HorshamFCU18s Horsham Olympic. 

No game for Reserves https://t.co/wtjZnBQhjk",3,5,False
0,1452669471642963971,Bilash singh.,70,False,2021-07-24 16:12:45,@IRamanpandey @iSinghApurva Cricket is a business being run by some people vested interest. It doesn't fulfill any… https://t.co/StCcGRIF4x,0,4,False
0,1452661569146408960,merrzzz,1246,False,2021-07-24 15:41:21,"if killing mosquitoes was an Olympic game, ain't nobody beating me init",3,47,False
0,1452641501196980231,Tyger Danger,842,False,2021-07-24 14:21:37,"Join us for She’s Got Game, a virtual
experience for young female professionals
Nov 3 – Nov 5. Welcome &amp; Keynote Sp… https://t.co/7TZk7WNsdT",3,7,False
0,1452636575347748865,Wosofan,37,False,2021-07-24 14:02:02,Still pissed no reporter asked C*rli why she was the ONLY person standing before that Olympic game....,9,100,False
0,1452626842679119874,🟥Edey💜🤍💚 🦖,1922,False,2021-07-24 13:23:22,"@OnQueerStreet Ellen Page existed when the game was manufactured 

You want me to burn my inception DVD because it… https://t.co/M3ErPsBuA0",0,4,False
0,1452623868716269579,🟥Edey💜🤍💚 🦖,1922,False,2021-07-24 13:11:33,"@Ralph_Hapschatt @darkestflameboy @SpawnofJustice @DalgetySusan @oxfamgb Exactly

And Ellen Page existed when they… https://t.co/flop4byKmU",0,4,False
0,1452618568084901889,#PackTheJungle 🏴‍☠️,3780,False,2021-07-24 12:50:29,"Love seeing how our Olympic sports are knocking out some big time wins lately!

If you haven’t been to an @ECUVB ga… https://t.co/SfAW44AKDv",0,26,False
0,1452609341370945538,1980 Miracle Hockey Team,11438,False,2021-07-24 12:13:49,"Some Eruzione #1980Olympic stats for you:
Hometown: Winthrop, MA
Position: Left Wing
Height: 5-10
Weight: 181
Goals… https://t.co/0qxtmsd9QH",3,24,False
0,1452608510877999105,The Mississaugua Golf and Country Club,1145,False,2021-07-24 12:10:31,"Team Murphy is at the Olympic Pre-Trials in Liverpool, Nova Scotia this week. Game #1 is today at 5:00 pm AST 🥌 Goo… https://t.co/7Hz42S3SNS",3,7,False
0,1452595947834281986,kdramafolder,21429,False,2021-07-24 11:20:36,"oh my gosh they have younghee (squid game's red light green light doll) at olympic park in seoul ??

#SquidGame… https://t.co/acu1JrYq8G",5,55,False
0,1452576675078840324,The Cheese Room Podcast,2760,False,2021-07-24 10:04:01,New Pod is out now! @CheeseRoomFP @bmcgerty and @pmuir review the game at the Olympic stadium. The pod is better th… https://t.co/c3mBK7QtKN,1,8,False
0,1452566846364741633,Gibberish/ আবোল তাবোল #Fully Vaccinated 💉,1382,False,2021-07-24 09:24:58,Stop the asshole cricket takes here. Only South Asians can drain their precious productive hours watching a game no… https://t.co/6MqTYBpMzu,0,4,False
0,1452551408905965568,Saurabh Singh Kshatriya🦅,294,False,2021-07-24 08:23:37,"#BCCI 2017 se hi mai cricket se dur 
Ho gaya,
hockey team Ki player ke gaon me na bijali na Tv Phir Govt ne lagwaya… https://t.co/ijdoeot4dE",2,7,False
0,1452533895098867715,GF2445,1116,False,2021-07-24 07:14:02,Evelyn and Trennt. I love them to pieces but frankly it did not cut it for a Canadian Pair. They need to lift their… https://t.co/5AwnVisLx5,0,12,False
